X,Y,OBJECTID,Mine_ID,MineName,Address,Latitude,Longitude,LAS_CODE,LAS_Name,ReportYear,ReportType,Acres_Dist,MineStatus,Rec_Status,Operator,Opt_Street,Opt_City,Opt_State,Opt_Zip,OptCountry,Owner,Owr_Street,Owr_City,Owr_State,Owr_Zip,OwrCountry,RP_Number,PriProduct,Other_Prod,Opt_Type,Permit_Num,PermitAcre,Mech_Total,FaceAmount
-13032729.3846,3834661.3301,2019385,91-37-0037,BORDER HIGHLANDS PIT,"5500 OVERLAND AVE, SUITE 410",32.541944,-117.075,37.15 ,City of San Diego,2022,2 ,0,CLOSED NO INTENT TO RESUME,RECLAMATION NOT STARTED,COUNTY OF SAN DIEGO,"5500 OVERLAND AVE., SUITE 410",SAN DIEGO,CA,92123,US,COUNTY OF SAN DIEGO,"5500 OVERLAND AVE, SUITE 410",SAN DIEGO,CA,92123,US,,Sand and Gravel,,OPEN PIT,CUP497-PC,146.00,,0
-13031430.6201,3840752.073,2019386,91-37-0039,BEYER PIT,"5500 OVERLAND AVE, SUITE 410",32.588056,-117.063333,37.15 ,City of San Diego,2011,2 ,10,RECLAIMED,RECLAMATION NOT STARTED,COUNTY OF SAN DIEGO,"5500 OVERLAND AVE, SUITE 410",SAN DIEGO,CA,92123,,COUNTY OF SAN DIEGO,"5500 OVERLAND AVE, SUITE 410",SAN DIEGO,CA,92123,,,Sand and Gravel,,OPEN PIT,BLANK,,,0
-13023638.2558,3841008.9167,2019387,91-37-0035,CHULA VISTA,2275 HARD ROCK ROAD,32.59,-116.993333,37.01 ,City of Chula Vista,2022,2 ,226,ACTIVE,RECLAMATION IN PROGRESS,VULCAN MATERIALS COMPANY,2275 Hard Rock Road,Chula Vista,CA,91913,,VULCAN MATERIALS COMPANY,"31 Rancho Camino Drive, Suite 300",Ponoma,CA,91203,US,RP 79-009,Sand and Gravel,,OPEN PIT,,388.00,1553651,2358372
-13010681.8916,3847470.0256,2019388,91-37-0053,JAMUL QUARRY,5745 MISSION CENTER ROAD,32.638889,-116.876944,37.00 ,County of San Diego,2004,2 ,0,RECLAIMED,RECLAMATION IN PROGRESS,CALMAT COMPANY DBA VULCAN MATERIALS COMPANY,10051 BLACK MOUNTAIN ROAD,SAN DIEGO,CA,92126,,OTAY LAKES NURSERY HOLDINGS L.L.C.,4600 SANTA FE ROAD,SAN DIEGO,CA,92109,,,Sand and Gravel,,QUARRY,MUP 84-108W,158.00,101976,0
-12966617.9636,3847873.8877,2019389,91-37-0044,BUCKMAN PIT,"5510 OVERLAND AVE, SUITE 410",32.641944,-116.481111,37.00 ,County of San Diego,2022,2 ,0,ACTIVE,RECLAMATION NOT STARTED,County of San Diego,"5510 Overland Ave., Suite 410",San Diego ,CA,92123,,COUNTY OF SAN DIEGO DEPARTMENT OF PUBLIC WORKS,"5510 OVERLAND AVE, SUITE 410",SAN DIEGO,CA,92123,,,Fill Dirt,,QUARRY,"MUP71-519W,RP80-003,P75-519W2",,500000,86106.06
-12878892.0822,3849122.5766,2019390,91-13-0064,MOUNT SIGNAL GRAVEL PIT,333 E. BARIONI BLVD / P.O. BOX 937,32.651389,-115.693056,13.00 ,County of Imperial,2011,2 ,,RECLAIMED,RECLAMATION NOT STARTED,IMPERIAL IRRIGATION DISTRICT,333 E. BARIONI BLVD  J-1-WD /P.O. BOX 937,IMPERIAL,CA,92251,,IMPERIAL IRRIGATION DISTRICT,333 E. BARIONI BLVD  J-1-WD /P.O. BOX 937,IMPERIAL,CA,92251,,,Stone,,OPEN PIT,CA060-FP7-,0.00,,0
-12904773.8638,3849746.9043,2019391,91-13-0033,COYOTE II PIT,155 SOUTH 11TH STREET,32.656111,-115.925556,13.00 ,County of Imperial,2022,2 ,0,ACTIVE,RECLAMATION NOT STARTED,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA-27432,0.00,21550.41,39488
-12880994.6848,3849893.802,2019392,91-13-0035,MOUNT SIGNAL,,32.657222,-115.711944,13.00 ,County of Imperial,1995,2 ,0,RECLAIMED,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",155 S. 11TH STREET,EL CENTRO,CA,92243,,,Sand and Gravel,,OPEN PIT,CA-060-FP4,0.00,,
-12879263.1101,3850738.5982,2019393,91-13-0046,COYOTE,4050 TAYLOR STREET,32.663611,-115.696389,13.00 ,County of Imperial,2019,2 ,0,IDLE,RECLAMATION NOT STARTED,CALIFORNIA DEPARTMENT OF TRANSPORTATION,4050 TAYLOR STREET,SAN DIEGO,CA,92110,,CALIFORNIA DEPARTMENT OF TRANSPORTATION,4050 TAYLOR STREET,SAN DIEGO,CA,92110,,,Sand and Gravel,,PROSPECT,,160.00,,0
-12885602.0872,3851877.2975,2019394,91-13-0072,GIBSON AND SCHAEFER,PO BOX 157,32.672222,-115.753333,13.00 ,County of Imperial,2022,2 ,30,ACTIVE,RECLAMATION IN PROGRESS,"GIBSON'S ALL AMERICAN AGGREGATES, INC.",83801 Avenue 45,Indio,CA,92201,,"GIBSON'S ALL AMERICAN AGGREGATES, INC.",83801 Avenue 45,Indio,CA,92201,US,,Fill Dirt,,OPEN PIT,166-93,300.00,20676,2770.38
